174.11	292	1.05
141.06	293	1.05
138.02	302	1.08
142.47	293	1.05
143.33	293	1.05
141.99	297	1.06
142.08	294	1.05
142.36	294	1.05
143.62	294	1.05
141.94	294	1.05
145.06	294	1.05
170.38	329	1.04
142.96	329	1.04
140.64	326	1.03
141.82	325	1.03
141.01	326	1.03
141.53	329	1.04
139.31	332	1.05
137.71	331	1.05
144.37	331	1.05
139.67	333	1.05
176.12	349	1.04
143.78	349	1.04
146.06	348	1.04
147.32	348	1.04
141.04	347	1.03
141.68	350	1.04
143.50	351	1.05
111.34	351	1.05
138.54	351	1.05
138.42	352	1.05
139.44	352	1.05
138.11	355	1.06
169.75	364	1.04
138.05	365	1.04
138.28	362	1.04
143.54	362	1.04
135.97	364	1.04
143.51	364	1.04
139.09	367	1.05
138.23	366	1.05
139.82	366	1.05
134.94	366	1.05
129.88	366	1.05
137.88	370	1.06
172.24	407	1.03
143.21	416	1.04
139.96	410	1.04
138.99	412	1.04
141.34	411	1.04
137.64	412	1.04
140.76	412	1.04
138.60	412	1.04
135.19	411	1.04
131.94	412	1.04
140.28	412	1.04
136.56	431	1.08
175.63	450	1.03
138.11	453	1.04
138.51	451	1.03
139.63	454	1.04
137.89	457	1.05
138.92	454	1.04
138.66	454	1.04
143.65	455	1.04
141.10	454	1.04
136.99	475	1.09
137.60	459	1.05
133.61	466	1.07
167.13	479	1.04
134.97	481	1.04
137.32	479	1.03
141.38	478	1.03
139.17	478	1.03
143.29	479	1.04
143.42	483	1.04
135.51	482	1.04
137.95	484	1.05
136.28	485	1.05
134.25	484	1.05
136.01	485	1.05
142.17	484	1.05
137.92	490	1.06
169.32	504	1.04
142.76	503	1.03
137.88	506	1.04
142.42	504	1.04
144.88	503	1.03
139.85	509	1.05
138.25	510	1.05
138.19	510	1.05
139.61	508	1.05
136.68	511	1.05
123.31	510	1.05
143.16	509	1.05
139.44	517	1.06
168.71	535	1.04
143.68	533	1.04
140.50	535	1.04
143.75	535	1.04
