292	273	53.78
293	274	44.43
302	283	45.75
293	274	44.16
293	274	47.71
297	277	38.68
294	275	39.17
294	275	40.81
294	275	40.80
294	275	39.99
294	275	40.13
329	307	39.14
329	308	55.79
326	308	48.23
325	309	39.17
326	308	40.36
329	310	43.59
332	311	48.51
331	312	45.43
331	312	37.75
333	314	37.80
349	327	39.30
349	328	58.63
348	328	47.57
348	328	40.84
347	328	43.18
350	329	39.14
351	329	41.61
351	329	40.37
351	330	41.43
352	330	39.10
352	330	41.24
355	334	46.89
364	341	40.10
365	342	59.47
362	342	47.58
362	342	40.41
364	343	41.69
364	343	44.06
367	344	43.16
366	344	42.48
366	344	46.94
366	344	45.98
366	344	42.44
370	348	44.63
407	383	42.50
416	391	49.15
410	385	58.20
412	385	53.58
411	385	51.87
412	387	52.42
412	387	56.80
412	387	53.03
411	387	46.95
412	388	45.08
412	388	44.39
431	405	44.08
450	424	43.54
453	425	56.74
451	426	67.49
454	426	62.70
457	427	59.97
454	425	54.85
454	426	49.03
455	427	47.53
454	427	55.56
475	444	55.01
459	429	57.91
466	435	46.28
479	451	44.08
481	451	54.57
479	452	60.32
478	452	62.76
478	452	59.79
479	452	62.37
483	454	62.51
482	454	58.33
484	454	58.43
485	455	48.05
484	455	50.47
485	455	59.32
484	455	58.68
490	460	56.96
504	472	55.77
503	473	50.66
506	474	57.08
504	474	59.51
503	474	44.00
509	475	51.29
510	476	49.90
510	476	44.15
508	476	46.42
511	477	58.91
510	476	50.30
509	477	55.26
517	483	50.60
535	499	40.45
533	500	62.16
535	502	46.73
535	502	62.21
