1.0269	217.86	
1.5390	225.55	15.505769
1.8099	236.61	21.821152
2.0151	238.88	23.400692
2.1622	240.32	23.028772
2.2635	239.63	22.939508
2.3491	239.54	21.850561
2.4167	239.70	22.788258
2.4711	240.22	19.904696
2.5164	237.20	21.952982
2.5607	238.21	24.482107
2.2497	222.87	
2.3061	240.80	16.731932
2.3584	239.19	22.911600
2.4066	241.07	24.122175
2.4508	237.03	24.254139
2.4912	241.68	25.002949
2.5260	240.77	25.387665
2.5570	241.66	24.810831
2.5853	239.65	24.023533
2.6089	241.11	24.154631
2.3967	225.27	
2.4128	226.70	17.983480
2.4231	239.74	25.678448
2.4343	240.75	25.532228
2.4481	231.23	26.764372
2.4607	233.93	23.306141
2.4729	232.70	24.790644
2.4855	236.22	24.410845
2.4974	231.33	26.155878
2.6790	232.86	25.527870
2.7028	241.49	25.061188
2.7038	234.58	24.040581
2.4811	215.27	
2.4797	230.45	19.198507
2.4783	240.48	24.223728
2.4785	232.64	26.399336
2.4816	237.81	25.970348
2.4851	230.33	25.157848
2.4881	232.82	24.130507
2.6780	234.80	17.331743
2.7000	237.98	24.981789
2.7025	229.50	26.065664
2.7023	229.05	25.720877
2.6977	231.91	24.864788
2.4622	214.41	
2.4432	228.73	21.946192
2.4476	231.02	19.191071
2.4528	232.38	28.443913
2.4596	231.63	33.532341
2.4678	233.59	24.163507
2.4755	232.85	20.309521
2.6668	232.20	18.782068
2.6953	231.26	28.173578
2.7049	238.71	27.813601
2.7147	238.81	25.939764
2.6938	230.99	28.009523
2.4584	220.47	
2.4680	238.49	21.864214
2.4789	233.05	17.172283
2.4909	233.12	25.705996
2.5037	233.72	17.289585
2.5199	233.79	26.223955
2.5355	232.67	18.478979
2.7330	234.64	20.563211
2.7643	232.07	22.756044
2.7860	238.08	30.120636
2.7963	236.52	19.498259
2.8000	230.85	27.496059
2.5519	219.29	
2.5546	237.28	21.718981
2.5616	239.52	30.320936
2.5698	234.20	35.550266
2.5788	234.45	35.044605
2.5910	241.51	29.856184
2.6013	226.32	24.051077
2.8382	231.16	23.586535
2.8663	227.08	43.577221
2.8734	239.30	26.378904
2.8792	231.82	26.789724
2.8836	233.41	27.645048
2.8870	233.11	27.352638
2.8822	232.15	26.475904
2.6207	222.41	
2.6191	233.39	19.994980
2.6188	231.56	18.471928
2.6303	233.96	26.695127
2.6320	232.48	24.965513
2.8580	233.53	24.222580
2.8844	232.13	17.826103
2.8925	233.07	27.512600
2.8957	234.09	23.930016
2.8970	232.14	26.515505
2.8976	229.46	24.072285
2.8953	231.15	26.398520
2.8894	231.83	25.370745
2.6251	211.79	
2.6239	239.66	25.138351
2.6244	229.16	23.338757
2.6264	232.66	28.401064
